name,url,remote_testing,adaptive_irt,duration,test_type
Entry Level Cashier 7.1 (International),https://www.shl.com/products/product-catalog/view/entry-level-cashier-7-1-%28international%29/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Entry Level Customer Service 7.1 (Americas),https://www.shl.com/products/product-catalog/view/entry-level-customer-service-7-1-%28americas%29/,False,False,1,"Competencies, Personality & Behavior"
Entry Level Customer Service 7.1 (International),https://www.shl.com/products/product-catalog/view/entry-level-customer-service-%28retail-and-cc%29-7-1/,False,False,1,"Competencies, Personality & Behavior"
Entry Level Customer Service 7.1 (South Africa),https://www.shl.com/products/product-catalog/view/entry-level-customer-service-7-1-%28south-africa%29/,False,False,1,"Competencies, Personality & Behavior"
Entry level Sales 7.1 (Americas),https://www.shl.com/products/product-catalog/view/entry-level-sales-7-1-%28americas%29/,False,False,1,"Biodata & Situational Judgement, Competencies, Personality & Behavior"
Entry level Sales 7.1 (International),https://www.shl.com/products/product-catalog/view/entry-level-sales-7-1/,False,False,1,"Personality & Behavior, Biodata & Situational Judgement, Competencies"
Entry Level Sales Sift Out 7.1,https://www.shl.com/products/product-catalog/view/entry-level-sales-sift-out-7-1/,False,False,1,"Competencies, Personality & Behavior, Biodata & Situational Judgement"
Event Sales Manager Solution,https://www.shl.com/products/product-catalog/view/event-sales-manager-solution/,False,False,1,"Simulations, Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Executive - Short Form,https://www.shl.com/products/product-catalog/view/executive-short-form/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Financial Professional - Short Form,https://www.shl.com/products/product-catalog/view/financial-professional-short-form/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Financial Services Representative Solution,https://www.shl.com/products/product-catalog/view/financial-services-representative-solution/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Front Desk Associate Solution,https://www.shl.com/products/product-catalog/view/front-desk-associate-solution/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Gaming Associate Solution,https://www.shl.com/products/product-catalog/view/gaming-associate-solution/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations"
Gaming Manager Solution,https://www.shl.com/products/product-catalog/view/gaming-manager-solution/,False,False,1,"Simulations, Ability & Aptitude, Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior"
General Entry Level - All Industries 7.0 Solution,https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-0-solution/,False,False,1,Biodata & Situational Judgement
General Entry Level - All Industries 7.1 Solution,https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-1-solution/,False,False,1,Biodata & Situational Judgement
General Entry Level - All Industries 7.1(Americas),https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-1%28americas%29/,False,False,1,Biodata & Situational Judgement
General Entry Level – Data Entry 7.0 Solution,https://www.shl.com/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,False,False,1,"Biodata & Situational Judgement, Knowledge & Skills"
Graduate + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/graduate-8-0-job-focused-assessment/,False,False,30,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
