name,url,remote_testing,adaptive_irt,duration,test_type
Professional 7.0 Solution,https://www.shl.com/products/product-catalog/view/professional-7-0-solution/,False,False,1,"Biodata & Situational Judgement, Competencies"
Professional 7.1 (International),https://www.shl.com/products/product-catalog/view/professional-7-1-solution-4247/,False,False,1,"Competencies, Biodata & Situational Judgement"
Professional 8.0 JFA,https://www.shl.com/products/product-catalog/view/professional-8-0-jfa/,False,False,1,"Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior"
Professional/Individual Contributor - Short Form,https://www.shl.com/products/product-catalog/view/professionalindividual-contributor-short-form/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations"
Project Manager - Short Form,https://www.shl.com/products/product-catalog/view/project-manager-short-form/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations"
Guest Services Associate Solution,https://www.shl.com/products/product-catalog/view/guest-services-associate-solution/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations"
Healthcare Aide 7.0 Solution,https://www.shl.com/products/product-catalog/view/healthcare-aide-7-0-solution/,False,False,1,Biodata & Situational Judgement
Healthcare Call Center Agent Solution,https://www.shl.com/products/product-catalog/view/healthcare-call-center-agent-solution/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations"
Healthcare Service Associate Solution,https://www.shl.com/products/product-catalog/view/healthcare-service-associate-solution/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Healthcare Support Specialist Solution,https://www.shl.com/products/product-catalog/view/healthcare-support-specialist-solution/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Home Health Aide Solution,https://www.shl.com/products/product-catalog/view/home-health-aide-solution/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Hospitality Manager Solution,https://www.shl.com/products/product-catalog/view/hospitality-manager-solution/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior"
Host Solution,https://www.shl.com/products/product-catalog/view/host-solution/,False,False,1,"Biodata & Situational Judgement, Personality & Behavior"
Industrial - Entry Level 7.0 Solution,https://www.shl.com/products/product-catalog/view/industrial-entry-level-7-0-solution/,False,False,1,Biodata & Situational Judgement
Industrial - Entry Level 7.1 (Americas),https://www.shl.com/products/product-catalog/view/industrial-entry-level-7-1-%28americas%29/,False,False,1,Biodata & Situational Judgement
Industrial - Entry Level 7.1 (International),https://www.shl.com/products/product-catalog/view/industrial-entry-level-7-1-%28international%29/,False,False,1,Biodata & Situational Judgement
Industrial - Professional and Skilled 7.0 Solution,https://www.shl.com/products/product-catalog/view/industrial-professional-and-skilled-7-0-solution/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement"
COBOL Programming (New),https://www.shl.com/products/product-catalog/view/cobol-programming-new/,False,False,1,Knowledge & Skills
Computer Science (New),https://www.shl.com/products/product-catalog/view/computer-science-new/,False,False,1,Knowledge & Skills
Contact Center Call Simulation (New),https://www.shl.com/products/product-catalog/view/contact-center-call-simulation-new/,False,False,1,Simulations
Conversational Multichat Simulation,https://www.shl.com/products/product-catalog/view/conversational-multichat-simulation/,False,False,1,Simulations
Core Java (Advanced Level) (New),https://www.shl.com/products/product-catalog/view/core-java-advanced-level-new/,False,False,1,"Knowledge & Skills, Technical Skills"
Core Java (Entry Level) (New),https://www.shl.com/products/product-catalog/view/core-java-entry-level-new/,False,False,1,"Knowledge & Skills, Technical Skills"
Count Out The Money,https://www.shl.com/products/product-catalog/view/count-out-the-money/,False,False,1,"Knowledge & Skills, Simulations"
CSS3 (New),https://www.shl.com/products/product-catalog/view/css3-new/,False,False,1,Knowledge & Skills
Culinary Skills (New),https://www.shl.com/products/product-catalog/view/culinary-skills-new/,False,False,1,Knowledge & Skills
Customer Service Phone Simulation,https://www.shl.com/products/product-catalog/view/customer-service-phone-simulation/,False,False,1,"Biodata & Situational Judgement, Simulations"
Customer Service Phone Solution,https://www.shl.com/products/product-catalog/view/customer-service-phone-solution/,False,False,1,"Biodata & Situational Judgement, Personality & Behavior, Simulations"
Cyber Risk (New),https://www.shl.com/products/product-catalog/view/cyber-risk-new/,False,False,1,Knowledge & Skills
Teradata Development (New),https://www.shl.com/products/product-catalog/view/teradata-development-new/,False,False,1,Knowledge & Skills
Time Management (U.S.),https://www.shl.com/products/product-catalog/view/time-management-u-s/,False,False,1,Knowledge & Skills
Training Development,https://www.shl.com/products/product-catalog/view/training-development/,False,False,1,Knowledge & Skills
Typing (New),https://www.shl.com/products/product-catalog/view/typing-new/,False,False,1,Simulations
UiPath RPA Development (New),https://www.shl.com/products/product-catalog/view/uipath-rpa-development-new/,False,False,1,Knowledge & Skills
Universal Competency Framework Interview Guide,https://www.shl.com/products/product-catalog/view/universal-competency-framework-interview-guide/,False,False,1,"Competencies, Personality & Behavior"
Universal Competency Framework Job profiling guide,https://www.shl.com/products/product-catalog/view/universal-competency-framework-job-profiling-guide/,False,False,1,"Competencies, Personality & Behavior"
Universal Competency Framework Profiler Cards (44),https://www.shl.com/products/product-catalog/view/universal-competency-framework-profiler-cards-44/,False,False,1,"Competencies, Personality & Behavior"
UNIX (New),https://www.shl.com/products/product-catalog/view/unix-new/,False,False,1,Knowledge & Skills
VB.NET (New),https://www.shl.com/products/product-catalog/view/vb-net-new/,False,False,1,"Knowledge & Skills, Technical Skills"
Verify - Deductive Reasoning,https://www.shl.com/products/product-catalog/view/verify-deductive-reasoning/,False,False,18,Ability & Aptitude
Verify - Following Instructions,https://www.shl.com/products/product-catalog/view/verify-following-instructions/,False,False,1,Ability & Aptitude
